,Year,Airport,Cause,Delays (%)
296,2012,SEA,Air Carrier Delay,4.93343116994619
297,2012,SFO,Air Carrier Delay,4.682022189927569
298,2012,SLC,Air Carrier Delay,3.445608913628823
299,2012,TPA,Air Carrier Delay,5.538336052202282
300,2013,ATL,Air Carrier Delay,3.955814000130364
301,2013,BOS,Air Carrier Delay,5.5513671261168245
302,2013,BWI,Air Carrier Delay,5.090202254807164
303,2013,CLT,Air Carrier Delay,4.385997700793964
304,2013,DAL,Air Carrier Delay,4.725952268734736
305,2013,DCA,Air Carrier Delay,5.397918074895231
306,2013,DEN,Air Carrier Delay,5.0387079398298384
307,2013,DFW,Air Carrier Delay,3.898142652655098
308,2013,DTW,Air Carrier Delay,3.824343421366567
309,2013,EWR,Air Carrier Delay,4.783567433188317
310,2013,FLL,Air Carrier Delay,7.201822818427371
311,2013,IAD,Air Carrier Delay,5.142048135913168
312,2013,IAH,Air Carrier Delay,4.4442849016694925
313,2013,JFK,Air Carrier Delay,4.838507754896768
314,2013,LAS,Air Carrier Delay,5.281359796261428
315,2013,LAX,Air Carrier Delay,5.135258716934807
316,2013,LGA,Air Carrier Delay,4.485706095929678
317,2013,MCO,Air Carrier Delay,6.289436706303897
318,2013,MDW,Air Carrier Delay,5.349370372855577
319,2013,MIA,Air Carrier Delay,4.84802479640209
320,2013,MSP,Air Carrier Delay,4.191047663156748
321,2013,ORD,Air Carrier Delay,4.218045750525232
322,2013,PDX,Air Carrier Delay,5.662655091471367
323,2013,PHL,Air Carrier Delay,5.302596969584708
324,2013,PHX,Air Carrier Delay,4.652155001977069
325,2013,SAN,Air Carrier Delay,6.273921151814711
326,2013,SEA,Air Carrier Delay,5.144859631763769
327,2013,SFO,Air Carrier Delay,4.608821376934475
328,2013,SLC,Air Carrier Delay,4.0372600744313285
329,2013,TPA,Air Carrier Delay,6.7466525455783355
330,2014,ATL,Air Carrier Delay,4.208426841732417
331,2014,BOS,Air Carrier Delay,5.602865407213234
332,2014,BWI,Air Carrier Delay,6.040783752545549
333,2014,CLT,Air Carrier Delay,4.992534920182439
334,2014,DAL,Air Carrier Delay,6.040853936306789
335,2014,DCA,Air Carrier Delay,5.494609127257687
336,2014,DEN,Air Carrier Delay,5.199266290886205
337,2014,DFW,Air Carrier Delay,4.496069131543966
338,2014,DTW,Air Carrier Delay,4.743338617149758
339,2014,EWR,Air Carrier Delay,4.902477749249238
340,2014,FLL,Air Carrier Delay,7.387262318863188
341,2014,IAD,Air Carrier Delay,5.381408985082352
342,2014,IAH,Air Carrier Delay,4.978528998192099
343,2014,JFK,Air Carrier Delay,5.129726504226755
344,2014,LAS,Air Carrier Delay,6.09972420435144
345,2014,LAX,Air Carrier Delay,5.715099958998109
346,2014,LGA,Air Carrier Delay,5.225175779789063
347,2014,MCO,Air Carrier Delay,7.058219891494356
348,2014,MDW,Air Carrier Delay,5.646952473502227
349,2014,MIA,Air Carrier Delay,5.002991718048817
350,2014,MSP,Air Carrier Delay,4.942100902054575
351,2014,ORD,Air Carrier Delay,4.498091357345926
352,2014,PDX,Air Carrier Delay,6.126673416582296
353,2014,PHL,Air Carrier Delay,6.033519629787293
354,2014,PHX,Air Carrier Delay,5.761214213602883
355,2014,SAN,Air Carrier Delay,7.021816191419486
356,2014,SEA,Air Carrier Delay,5.213222714813928
357,2014,SFO,Air Carrier Delay,5.2046523612351185
358,2014,SLC,Air Carrier Delay,4.3387545355754895
359,2014,TPA,Air Carrier Delay,7.4264399882858845
360,2015,ATL,Air Carrier Delay,4.153389477678407
361,2015,BOS,Air Carrier Delay,5.940438260515883
362,2015,BWI,Air Carrier Delay,5.02203921151905
363,2015,CLT,Air Carrier Delay,4.535174484735427
364,2015,DAL,Air Carrier Delay,4.9822497828836125
365,2015,DCA,Air Carrier Delay,5.573018097919795
366,2015,DEN,Air Carrier Delay,5.053751138300604
367,2015,DFW,Air Carrier Delay,4.731769084665119
368,2015,DTW,Air Carrier Delay,4.65162157364911
369,2015,EWR,Air Carrier Delay,4.992788332167267
370,2015,FLL,Air Carrier Delay,6.918785177350505
371,2015,IAD,Air Carrier Delay,6.330937181481682
372,2015,IAH,Air Carrier Delay,4.853092364455005
373,2015,JFK,Air Carrier Delay,4.964150684663152
374,2015,LAS,Air Carrier Delay,5.13825222755312
375,2015,LAX,Air Carrier Delay,5.624336855979475
376,2015,LGA,Air Carrier Delay,5.488807315697497
377,2015,MCO,Air Carrier Delay,6.63598493684807
378,2015,MDW,Air Carrier Delay,4.507531328745607
379,2015,MIA,Air Carrier Delay,6.250371944739639
380,2015,MSP,Air Carrier Delay,4.665884595644842
381,2015,ORD,Air Carrier Delay,4.1374898728605425
382,2015,PDX,Air Carrier Delay,5.545590115040478
383,2015,PHL,Air Carrier Delay,5.461404044046266
384,2015,PHX,Air Carrier Delay,5.148969601362178
385,2015,SAN,Air Carrier Delay,6.187020703012538
386,2015,SEA,Air Carrier Delay,4.633322890215349
387,2015,SFO,Air Carrier Delay,4.997156707948881
388,2015,SLC,Air Carrier Delay,4.015204280981909
389,2015,TPA,Air Carrier Delay,6.674958732732907
390,2016,ATL,Air Carrier Delay,3.8077121264170395
391,2016,BOS,Air Carrier Delay,5.843113160086759
392,2016,BWI,Air Carrier Delay,4.2810489445073845
393,2016,CLT,Air Carrier Delay,4.150135065545189
394,2016,DAL,Air Carrier Delay,4.556422377541255
395,2016,DCA,Air Carrier Delay,5.508014447857887
396,2016,DEN,Air Carrier Delay,4.144807161012268
397,2016,DFW,Air Carrier Delay,5.013309119476001
398,2016,DTW,Air Carrier Delay,4.08695126765329
399,2016,EWR,Air Carrier Delay,4.631014705248178
400,2016,FLL,Air Carrier Delay,6.143824514641787
